Devil_Type,Devil_Text,FolkNotes
Animal Devil,Beast,Used cloth of various colours. I think she used nail trimmings rather than iron nails as it refers to 'peces of nails'. Claimed to have had a piece of paper on which there was writing and that a neighbour took ill and died after picking it up.
Female Fairy,Quene of Elphen,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
Spirit,Christonday/Angel,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
Ghost,Thomas Rhymer/James IV,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
Animal Devil,Stag deer,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
Other Demon,Black beast,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
Male,Old beared man in white,Caused a man's wand to never lie down. He later died.
Male,no details,Caused a man's wand to never lie down. He later died.
Animal Devil,as a lamb,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Animal Devil,as a calf,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Animal Devil,as beast,"Accused of being able to cause storms by hanging a beetle from a thread and whispering words to it. Also accused of using special green thread to bewitch cloth so that it would sell at market. 2 other women had a share in the cloth and Oige promised them that it would get a good price at market. The women asked her how she knew and she then enchanted the cloth with the green thread, which had been used in a winding sheet. The cloth was sold at the market when other people's cloth was not."
Animal Devil,grey stag,"With her sister Spaldarge, she seems to have had a vision of a headless man, which they claimed predicted the death of a man. Seen paddling in loch on Nuris Day, throwing water and erd and stane (ritual of land ownership) over her shoulders. Took fire peat from one man's house to her own house and later daughter/son (?) of the man died. Predicted the birth of a child. Did not exchange any greeting with a man who later died. Touched boy on both cheeks, later he died."
Animal Devil,bird,"With her sister Spaldarge, she seems to have had a vision of a headless man, which they claimed predicted the death of a man. Seen paddling in loch on Nuris Day, throwing water and erd and stane (ritual of land ownership) over her shoulders. Took fire peat from one man's house to her own house and later daughter/son (?) of the man died. Predicted the birth of a child. Did not exchange any greeting with a man who later died. Touched boy on both cheeks, later he died."
Animal Devil,horse,"With her sister Spaldarge, she seems to have had a vision of a headless man, which they claimed predicted the death of a man. Seen paddling in loch on Nuris Day, throwing water and erd and stane (ritual of land ownership) over her shoulders. Took fire peat from one man's house to her own house and later daughter/son (?) of the man died. Predicted the birth of a child. Did not exchange any greeting with a man who later died. Touched boy on both cheeks, later he died."
Male,little cripple man, 
Male, ,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Animal Devil,unspecified beast,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Animal Devil,black stag,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Male,in silk clothing/white candle in hand,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Male,black man,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Female,dressed in white wylicoat,Could charm a sword so that the owner would be protected from harm or injury. Healed using south running water and prayers. Told servant to get the south running water in silence. Incantations included reference to the Trinity and Christonday.
Male,man,"Her statement said that she had been speechless for 1 day and people had said she had been taken by the fairies, she denied this. She denied that she was able to identify other witches."
 , ,"Her statement said that she had been speechless for 1 day and people had said she had been taken by the fairies, she denied this. She denied that she was able to identify other witches."
Animal Devil,crows,"Requested to remove illness after cursing woman. Gave her husband some silver to hold his peace, then sent the woman some cheese. Touched a man's leg three times, then touched the ground. Sent a bannock to a man to cure him. Accused of appearing under a fishing boat as a porpoise and causing it to overturn and sink. Four men drowned and she was requested to lay her hands on the dead bodies, which then bled proving that she had caused their death."
Spirit,as angel,"Claimed to have used rowan tree and a piece of a dead person's finger to cure the worm. Fairies offered her food but she refused it. Her husband took ill, then her baby was replaced with a changeling. She refused to feed it and threw it in the fire. She then promised to serve the 'fair folk' in return for her child. Said the saw Richie Graham at meetings with the 'fair folk' as well as several other people. While in prison she was visited by a man and asked to identify who had stolen his cow's milk. The man and the woman that Watsonne identified were questioned by the presbytery."
Male,as Thomas Murray,"Claimed to have used rowan tree and a piece of a dead person's finger to cure the worm. Fairies offered her food but she refused it. Her husband took ill, then her baby was replaced with a changeling. She refused to feed it and threw it in the fire. She then promised to serve the 'fair folk' in return for her child. Said the saw Richie Graham at meetings with the 'fair folk' as well as several other people. While in prison she was visited by a man and asked to identify who had stolen his cow's milk. The man and the woman that Watsonne identified were questioned by the presbytery."
Male,man in green clothes, 
Male,in brown clothes and black hat,Often met the devil and others at 12 o'clock at night.
Male, ,"Claimed that Jonet Great, who was dead, came out with herself and others to a man's house, where they stole bread"
Female,wearing green waistcoat with grey tails,"Claimed that Jonet Great, who was dead, came out with herself and others to a man's house, where they stole bread"
Male,in grey clothes and blue hat,Woman in green waiscoat with a black pot ?fairy.  Joined the devil during Lenten.
Fairy,in green waistcoat and grey gown,Woman in green waiscoat with a black pot ?fairy.  Joined the devil during Lenten.
Female,in white gown,Woman in green waiscoat with a black pot ?fairy.  Joined the devil during Lenten.
Animal Devil,feltered beast,"Claimed that Jonet Great, who was dead, came out with herself and others to a man's house, where they stole bread"
Female,woman with black pot,"Confessed some story about having a moldiewort that she kept at home ?familiar but unlikely.  A woman saw a woman walking home from where they collected mussels, looked back and saw only a sow, and 'in the twinkling of an eye' she saw no sow but Jonet Black."
Male, ,Said she met people who had died of the plague.
Male,grim man in black clothes,The devil met a group of people when they were ploughing and promised them a good crop that year.
Male,in grey clothes, 
Male,in brown clothes, 
Unspecified Devil, ,"Seen hugging the corners of a man's house at dawn. He later took ill and died. Prophesied that a man who had taken on a property would lose it all. Seen to have thrown stones in water, which then appeared to dance. No details about what they were for. Seen to turn the bowl of her shears 3 times in the mouth of her sheep."
Animal Devil,four legged beast,"Most of the dittay refers to her use of threads (coloured and cut) to cure illness or to identify the cause and predict outcome. On one occasion she used the thread and told the woman she was not bewitched nor did she have the fevers. The same woman complained that Lucas had made the walls of her house shake, and that Lucas had made the devil appear to her and her husband in the shape of four legged beasts. They claimed that Lucas had told her husband if he had any property that was not his he was to return it to their rightful owners and the Devil would stop appearing."
Animal Devil,black dog,Denied that she had used a wax image but said she had used water and coals to harm Morton.
Male,man,"Said she knew charms to cure the evil eye, wristing or brising (?) and the glaick. These involved rituals and charms spoken in Gaelic. She used water, a curchif (handkerchief or scarf), herbs. To cure the glaik she would take the person (child) to the place where the herb grew, avoiding seeing any other person. Picks up the herb through a broch (brooch) takes it home and seiths (sains?/bless) it on the fire. Thsi she would give as a drink, three times."
Male,young man, 
Male,gross copperfaced man, 
Animal Devil,little brown dog,One report said she was seen to go round cows several times. Lifted up her curcheffe and cursed to cause harm. Said she knew a charm in Gaelic to cure the evil eye.
Male,well favoured young man,One report said she was seen to go round cows several times. Lifted up her curcheffe and cursed to cause harm. Said she knew a charm in Gaelic to cure the evil eye.
Animal Devil,cat,One report said she was seen to go round cows several times. Lifted up her curcheffe and cursed to cause harm. Said she knew a charm in Gaelic to cure the evil eye.
Male,black rough fierce man,"Used herbs to heal. Said the devil told her the fairies took John Glas's child's life, and that they intended to take Glas's life as well. Said that an illness was caused by the fairies - 'blasted by the fairies'. Asked what the difference was between shooting (elfshot) and blasting. Said there was no cure for shot and that blasting was a whirlwind that the fairies raised about their victim but that it could be healed with herbs or charms."
Male,with a white 'midell',"Used herbs to heal. Said the devil told her the fairies took John Glas's child's life, and that they intended to take Glas's life as well. Said that an illness was caused by the fairies - 'blasted by the fairies'. Asked what the difference was between shooting (elfshot) and blasting. Said there was no cure for shot and that blasting was a whirlwind that the fairies raised about their victim but that it could be healed with herbs or charms."
Male,naked with black head,"Used herbs to heal. Said the devil told her the fairies took John Glas's child's life, and that they intended to take Glas's life as well. Said that an illness was caused by the fairies - 'blasted by the fairies'. Asked what the difference was between shooting (elfshot) and blasting. Said there was no cure for shot and that blasting was a whirlwind that the fairies raised about their victim but that it could be healed with herbs or charms."
Ghost,spirit of Adam Ker,"Used herbs to heal. Said the devil told her the fairies took John Glas's child's life, and that they intended to take Glas's life as well. Said that an illness was caused by the fairies - 'blasted by the fairies'. Asked what the difference was between shooting (elfshot) and blasting. Said there was no cure for shot and that blasting was a whirlwind that the fairies raised about their victim but that it could be healed with herbs or charms."
Male,called Klareanough,"Used herbs to heal. Said the devil told her the fairies took John Glas's child's life, and that they intended to take Glas's life as well. Said that an illness was caused by the fairies - 'blasted by the fairies'. Asked what the difference was between shooting (elfshot) and blasting. Said there was no cure for shot and that blasting was a whirlwind that the fairies raised about their victim but that it could be healed with herbs or charms."
Spirit,Christonday,"Confessed that she offered to remove a bewitchment from a mill. Went to another accused person, Katherine Gerard, who told her to take sand from the north door of the mill and throw it over the wheels and stones in the name of God and Christonday. The mill then started to work again. Also confessed that she and Gerard had met and with a feather had cast the bewitchment on the mill earlier."
Fairy, ,Rituals for protecting cattle at Halloween. Using linen cloth and a hair of the beast.  Says she was with the pharie.  They gave her second sight to know if any fey body are in the house.
Male,"little, black man",met the devil at oatseedtime (spring).
Male,in green cothes,met the devil at oatseedtime (spring).
Male,man in black, 
Male,in black clothes, 
Male,heavy as millstone, 
Male,black man, 
Male,very well clothed, 
Male, ,"A male victim suffering from pains like child birth and swelling went to a English doctor in Leith,  who declared that he was bewitched.  New charges in second restatement of trial.  Her master Andro Lauder and his wife asked if she had fallen out with anyone. Disease was taken off and moved to a cat, there was a cold wind when the cat died."
Male, , 
Male,cloven feet, 
Unspecified Devil, ,Her sons had to do penance for charming for conducting a ritual to cure their cattle with a special flask of water given to them by the mistress of Leyis.  She was accused of using a specific ritual that involved taking off her hat and walking around with it counter-clockwise (withershins)
Male,man in grey clothes,"Using ulie (oil) spek cammomyle and heart creishc (creesh = fat, grease or tallow).  Lots of information about healing techniques in his dittay (JC26/9).  He supposedly tried to destroy Manderston by leaving a dead foul in his barn which killed lots of horses.  Used cats and birds for healing.  Instructed a woman to cure her husband by rubbing him with a wet cloth."
Insect Devil,Bee, 
Male,pretty boy in Green Clothes, 
Male,young man, 
Male,meikle headed body, 
Male, , 
Male, , 
Male,with green clothes, 
Spirit,as a woman,The spirit woman offered to go to the queen of fairy to get help for Jean.  After receiving help from the woman who went to talk to the queen of fairy Jean was spinning and found a lot of money.
Female Fairy,queen of fairy,The spirit woman offered to go to the queen of fairy to get help for Jean.  After receiving help from the woman who went to talk to the queen of fairy Jean was spinning and found a lot of money.
Male, , 
Male, , 
Male,gentleman, 
Male,Sade coloured habit, 
Male,black man in black clothes,"Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Spirit,her's named Laurie Moir, 
Spirit,her's named Peter Drysdale, 
Spirit,Peiter Solloway, 
Male, ,"While in the shape of bees she and Marion Veitch carried the poison used to kill Veitch's grandson in their 'cleuchis, wings and mouth'.  She claimed that Helen Laying (her master) kept her from church and had her carry water from a well instead."
Male, , 
Male, ,She left her body at the kirk in Pencaitland when she went out as a corbie.
Male, , 
Male,Black Man in black clothes, 
Male,an English healer named Webb, 
Male, , 
Male, , 
Male,gentleman, 
Male,Black man, 
Female Fairy,Queen of Elphane,"She was cured by this Mr. William sympson 'the witch', Mr. Sympson made a statement about all the illnesses of the Archbishop of St. Andrews.  Said she had friends in the court of the fairies who were blood relations.  She couldn't recall how long she had spent with the fairies.  The good neighbours hold her under God. She claimed to go to St. Andrews to heal people."
Male, ,"He used south running water.  Used raw flesh with nine notches on it to bewitch someone, by putting it under their door (this could have been an unwitching ceremony?)."
Animal Devil,Horse,"He used south running water.  Used raw flesh with nine notches on it to bewitch someone, by putting it under their door (this could have been an unwitching ceremony?)."
Spirit,Helena McBurnie,He was presented with a hairbelt (in the shape of a Devil's claw) from the spirit woman Helena McBurnie.  He was accused of damaging cows milk on Beltane.
Male,Black man,"Peole made up with her over drinks, and a strange poor woman turned up asking for meat, and announced that the accuser was bewitched.  I read her as a community healer who diagnosed the situation, but the accuser was either hiding the fact that they hired her or hiding her identity."
Baby,naked infant bairn,"Peole made up with her over drinks, and a strange poor woman turned up asking for meat, and announced that the accuser was bewitched.  I read her as a community healer who diagnosed the situation, but the accuser was either hiding the fact that they hired her or hiding her identity."
Human Devil,non-specific,"South running water, dug up corpses and used the flesh to harm people."
Animal Devil,the witch's Cat,"Peole made up with her over drinks, and a strange poor woman turned up asking for meat, and announced that the accuser was bewitched.  I read her as a community healer who diagnosed the situation, but the accuser was either hiding the fact that they hired her or hiding her identity."
Female,in likeness of the accused,"Peole made up with her over drinks, and a strange poor woman turned up asking for meat, and announced that the accuser was bewitched.  I read her as a community healer who diagnosed the situation, but the accuser was either hiding the fact that they hired her or hiding her identity."
Male Fairy,grey beard.,"She confessed to using special water.  She washed a sick child and asked for healing in the name of the father, son and holy ghost.  Then cast the bairns shirt in the burn.  She was nearly able to transfer the disease, but she spilt some water and it didn't work.  She was asked if she met fairies, she answered yes, 10 years prior.  She claimed that she stayed in a fairy hill for three days -Thursday till Sunday.  Met with a man with a grey beard.  She made 3 cakes, out of 9 handfuls of meal gotten from 9 different women.  She collected well water for healing. Sharg - tiny ill-thriving creature, probably a changeling."
Male Fairy,man in Green clothes,"She was cured by this Mr. William sympson 'the witch', Mr. Sympson made a statement about all the illnesses of the Archbishop of St. Andrews.  Said she had friends in the court of the fairies who were blood relations.  She couldn't recall how long she had spent with the fairies.  The good neighbours hold her under God. She claimed to go to St. Andrews to heal people."
Male,Black man,"She did some kind of charm with a compass in the earth.  Three worms came out of a hole in the middle of the compass, a big one, a little one and then a big one that died.  She interpreted this as a man, his unknown infant in the womb, and his wife who would die of childbirth, and she did."
Male,In quhyte rayment,"Use of cats to raise winds to sink ships.  They took an object that looked like a fute-ball and cast it in the see to raise 'ane vapour and ane reik' to send the King's ship off.  He blew on a woman's hand to open a lock.  He lit a horse with candles, a magical thing.  He carried the mole's feet around as a talisman so that he wouldn't lack silver.  He walked withershins.  He could predict the future of when and how people would die if he knew their birth day.  Night flying.  Newes From Scotland, describes a foiled love magic attempt."
Male,a black man,"Use of cats to raise winds to sink ships.  They took an object that looked like a fute-ball and cast it in the see to raise 'ane vapour and ane reik' to send the King's ship off.  He blew on a woman's hand to open a lock.  He lit a horse with candles, a magical thing.  He carried the mole's feet around as a talisman so that he wouldn't lack silver.  He walked withershins.  He could predict the future of when and how people would die if he knew their birth day.  Night flying.  Newes From Scotland, describes a foiled love magic attempt."
Male,black man,"Predicted someone's death.  She said the Devil was responsible for storms around Michaelmas and that they would continue.  Learned her healing from her father.  Gripping to cure.  She did lots of rituals with cats, passing them around and combining them with joints (dead people's).  They cast live cats into the sea, the cats swam out again.  Did a version of the Lord's Prayer, Ave Marias.  She was paid to heal very high status people (Lords, lairds, and their wives) from a large territory.  She prescribed an egg dipped in vinager, and one dipped in white wine, rubbed a patient with Aqua vitea.  Healed someone on Halloween.  She blessed a ring."
Male,a trymme gentleman,The Devil told her to heal a man by laying a black caird under his door.  The Devil supplied the black caird.  She said that she didn't keep the kirk regularly and that was why the Devil came to her.
Animal Devil,a dog,"Predicted someone's death.  She said the Devil was responsible for storms around Michaelmas and that they would continue.  Learned her healing from her father.  Gripping to cure.  She did lots of rituals with cats, passing them around and combining them with joints (dead people's).  They cast live cats into the sea, the cats swam out again.  Did a version of the Lord's Prayer, Ave Marias.  She was paid to heal very high status people (Lords, lairds, and their wives) from a large territory.  She prescribed an egg dipped in vinager, and one dipped in white wine, rubbed a patient with Aqua vitea.  Healed someone on Halloween.  She blessed a ring."
Spirit,named Elva (Eloa),"Predicted someone's death.  She said the Devil was responsible for storms around Michaelmas and that they would continue.  Learned her healing from her father.  Gripping to cure.  She did lots of rituals with cats, passing them around and combining them with joints (dead people's).  They cast live cats into the sea, the cats swam out again.  Did a version of the Lord's Prayer, Ave Marias.  She was paid to heal very high status people (Lords, lairds, and their wives) from a large territory.  She prescribed an egg dipped in vinager, and one dipped in white wine, rubbed a patient with Aqua vitea.  Healed someone on Halloween.  She blessed a ring."
Animal Devil,dog,The Devil told her to heal a man by laying a black caird under his door.  The Devil supplied the black caird.  She said that she didn't keep the kirk regularly and that was why the Devil came to her.
Human Devil,heavy like an ox,The Devil told her to heal a man by laying a black caird under his door.  The Devil supplied the black caird.  She said that she didn't keep the kirk regularly and that was why the Devil came to her.
Male,Tryme gentleman, 
Male,mekle black man,Detailed ritual with four joints tied to the feet of a cat and cast into the sea to raise a wind.  She handled the cloth and clay pictures.
Male,black man,"Not the typical love magic, this was done to get Dame Jeane Lyoune Lady Angus to love her, by which I think they mean to show her favour?  She paid Agnes Sampson a ring and a head scarf.  She was also accused of consulting Rychard Grahame as to whether or not the king would come home from Denmark.  She was acquitted of making wax images and of being at the North Berwick meeting.  Extended description of potions made out of strange materials."
Animal Devil,Foil,"Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Animal Devil,rough calf, 
Male,black man,"The bowl was described as a great bikar that was put around her head and neck to inaugurate her into the craft (perhaps the impetus for the cauldron myths?).  Description of a bewitching using materials left in a window (magical use of boundaries).  She was accused of using her servants to deliver materials to and from other witches, and those servants seemed to have betrayed her in court by testifying against her."
Male,black man,"Detailed description of preparation for the North Berwick meetings that she was supposedly at according to Napier's dittay.  Used a sark.  She was present when Agnes Sampson melted a toad over a fire and did something with the drippings as part of the attempt to wreck a man (they later found out it was the King).  The toad was then sent to Edinburgh to the women who would use it there.  Then Sampson called her master three times.  They then had the wax image, said words and walked widdershins with it."
Male, , 
Spirit,in voice,"The bowl was described as a great bikar that was put around her head and neck to inaugurate her into the craft (perhaps the impetus for the cauldron myths?).  Description of a bewitching using materials left in a window (magical use of boundaries).  She was accused of using her servants to deliver materials to and from other witches, and those servants seemed to have betrayed her in court by testifying against her."
Male,Black man,"Protective magic used to increase people's fishing catch - she washed the unsuccessfull fisherman's cat's feet with the fishing bait water and threw the water out to sea after him.  She removed a bewitchment from someone.  To remove a forspeaking, she took a cup of water, put big salt into it and then spit into it."
Male,black man, 
Ghost,Thom Reid,"She was told to be silent about her visit to the fairies.  There were 12 of them, 8 women and 4 men.  Indication of how she was questioned to get accomplices and more information.  The fairies wanted her to go with them.  Loads of information about fairies.  Specific roots and herbs were mentioned, including ginger, liquorice, clover, and anis seed.  Thom gave her a green thread to help with child birth curing but she lost it.  They asked if she supported the Reformed faith, she said that Thom said it was not good, but the old faith needed fixing.  12:00 hour of the day was Thom's most common time to appear.  The Queen of Elphan commanded him to wait upon her.  She was asked specifically if she met him by lochs and water side, she said only once."
Ghost,The laird of Auchinsteyth who had died,"She was told to be silent about her visit to the fairies.  There were 12 of them, 8 women and 4 men.  Indication of how she was questioned to get accomplices and more information.  The fairies wanted her to go with them.  Loads of information about fairies.  Specific roots and herbs were mentioned, including ginger, liquorice, clover, and anis seed.  Thom gave her a green thread to help with child birth curing but she lost it.  They asked if she supported the Reformed faith, she said that Thom said it was not good, but the old faith needed fixing.  12:00 hour of the day was Thom's most common time to appear.  The Queen of Elphan commanded him to wait upon her.  She was asked specifically if she met him by lochs and water side, she said only once."
Male,great man, 
Animal Devil,great dog, 
Male, , 
Animal Devil,as a foal, 
Male,gentleman, 
Animal Devil,a black dun dogg, 
Male,black man, 
Male,black man with a staff, 
Male,gentleman, 
Animal Devil,meikle grayhound, 
Male,man in green clothes, 
Male,black man, 
Male,black man, 
Animal Devil,as a meikle rouch dog with speech, 
Animal Devil,colt foal, 
Male,the spirit of her dead husband, 
Male,Meikle blak man, 
Male,as her husband,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Male, , 
Spirit,a familiar spreit,"Used a sick man's shirt for diagnosis of bewitchment.  Healing for money.  Used part of a root under a man's head for failed healing attempt.  Told some sick people to seek their health from the suspected bewitcher 'for God's sake'.  He performed an unauthorised exorcism, he said he would save the boy's soul.  He gave the boy a leather pouch filled with rusty nail, bits of stick and roots.  Used south running water, powders to make drinks.  Told people not to eat meat on Fridays.  Said to use water where 'ane Christian King had ridden over' to wash a shirt for healing.  He kept a book of cures and had 3 special stones called 'slake stanes'.  Drummond called his healing words 'holy orations'."
Male Fairy, ,She confessed to being away with the Fferrie.  Had a great meeting with the not earthen folkis and not earthly talkis.  They had a fire and dancing and myrth.  When asked how she knew them she said they were 'fairer and beltin busked [beltane bound] and that they spak with ane eldridge voyce' [elvish voice].  She said the Devil came to her in prison and said he could strangle her like he did for Helen Harris.  She claimed that no one else could see the devil in the tolbooth because he had rubbed something in her eyes.
Male, ,She confessed to being away with the Fferrie.  Had a great meeting with the not earthen folkis and not earthly talkis.  They had a fire and dancing and myrth.  When asked how she knew them she said they were 'fairer and beltin busked [beltane bound] and that they spak with ane eldridge voyce' [elvish voice].  She said the Devil came to her in prison and said he could strangle her like he did for Helen Harris.  She claimed that no one else could see the devil in the tolbooth because he had rubbed something in her eyes.
Male,Black man,Accused of having cast an illness by roasting of wax or clay images.  The wax image was found in a hole in the wall behind her fire.  She was also found with a wax image of a woman while in prison.  The authorities thought she had strangely escaped from the stocks while in prison.
Male,black man in black clothes,Accused of attempted murder by roasting wax/clay figures in a fire and inserting pins into the images.  A wax image was found in his bedstraw with pins in it exactly were Maxwell felt pain.
